stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3487-1,,赤羽,,37.133385,140.377105,Z3487-1,,0,,,
3488-1,,上の原,,37.137964,140.388219,Z3488-1,,0,,,
3489-1,,沢田,,37.140263,140.394031,Z3489-1,,0,,,
3490-1,,沢田自治センター,,37.142372,140.399192,Z3490-1,,0,,,
3491-1,,梁瀬,,37.150832,140.416170,Z3491-1,,0,,,
3492-1,,成亀,,37.154019,140.416265,Z3492-1,,0,,,
3493-1,,新屋敷,,37.156907,140.417131,Z3493-1,,0,,,
3494-1,,和久,,37.160596,140.415692,Z3494-1,,0,,,
3495-1,,鳥内橋,,37.167524,140.410946,Z3495-1,,0,,,
3509-1,,大室,,37.134376,140.458661,Z3509-1,,0,,,
3510-1,,福田,,37.131200,140.462286,Z3510-1,,0,,,
3511-1,,中ノ内入口,,37.127442,140.466366,Z3511-1,,0,,,
3512-1,,南山形,,37.116419,140.471391,Z3512-1,,0,,,
3513-1,,高原入口,,37.107408,140.473533,Z3513-1,,0,,,
3514-1,,羽入田,,37.106516,140.477653,Z3514-1,,0,,,
3515-1,,八升蒔,,37.101953,140.478314,Z3515-1,,0,,,
3516-1,,五斗蒔,,37.098354,140.482038,Z3516-1,,0,,,
3517-1,,女庭,,37.091725,140.482040,Z3517-1,,0,,,
3518-1,,塩の沢,,37.086014,140.480468,Z3518-1,,0,,,
3519-1,,井戸入,,37.081532,140.484658,Z3519-1,,0,,,
3520-1,,菅田,,37.076115,140.485502,Z3520-1,,0,,,
3521-1,,後田中,,37.072297,140.486785,Z3521-1,,0,,,
3522-1,,西山,,37.068677,140.484733,Z3522-1,,0,,,
3523-1,,押野,,37.064781,140.479437,Z3523-1,,0,,,
3524-1,,宝木,,37.063081,140.475036,Z3524-1,,0,,,
3530-1,,官沢,,37.051600,140.498367,Z3530-1,,0,,,
3531-1,,大工内,,37.145187,140.483650,Z3531-1,,0,,,
3532-1,,形見,,37.140252,140.490704,Z3532-1,,0,,,
3532-2,,形見,,37.139912,140.490937,Z3532-2,,0,,,
3533-1,,下の内,,37.131763,140.494920,Z3533-1,,0,,,
3533-2,,下の内,,37.132287,140.494514,Z3533-2,,0,,,
3534-1,,谷沢,,37.126419,140.497645,Z3534-1,,0,,,
3535-1,,坂路西口,,37.121494,140.502522,Z3535-1,,0,,,
3535-2,,坂路西口,,37.121860,140.502338,Z3535-2,,0,,,
3536-1,,坂路東口,,37.117628,140.504556,Z3536-1,,0,,,
3536-2,,坂路東口,,37.117127,140.504447,Z3536-2,,0,,,
3537-1,,仙石清水,,37.111399,140.505402,Z3537-1,,0,,,
3538-1,,仙石寄居,,37.107050,140.506714,Z3538-1,,0,,,
3539-1,,楚々柳,,37.104695,140.507883,Z3539-1,,0,,,
3540-1,,仙石立場,,37.101759,140.509415,Z3540-1,,0,,,
3541-1,,木戸脇,,37.099023,140.511058,Z3541-1,,0,,,
3542-1,,仙石湯の口,,37.095370,140.513785,Z3542-1,,0,,,
3543-1,,若神子,,37.091017,140.515062,Z3543-1,,0,,,
3543-2,,若神子,,37.091589,140.514777,Z3543-2,,0,,,
3544-1,,発木内,,37.087205,140.516592,Z3544-1,,0,,,
3544-2,,発木内,,37.087739,140.516227,Z3544-2,,0,,,
3545-1,,八幡下,,37.083680,140.521465,Z3545-1,,0,,,
3545-2,,八幡下,,37.083566,140.521402,Z3545-2,,0,,,
3546-1,,長光地,,37.085950,140.524496,Z3546-1,,0,,,
3547-1,,中居,,37.089474,140.527868,Z3547-1,,0,,,
3548-1,,田口山下,,37.093376,140.529749,Z3548-1,,0,,,
3549-1,,田口高橋,,37.093828,140.532402,Z3549-1,,0,,,
3549-2,,田口高橋,,37.093611,140.531263,Z3549-2,,0,,,
3550-1,,古殿小学校,,37.094622,140.536511,Z3550-1,,0,,,
3550-2,,古殿小学校,,37.094562,140.536051,Z3550-2,,0,,,
3551-1,,千足町,,37.094525,140.543546,Z3551-1,,0,,,
3552-1,,竹貫上,,37.093600,140.546883,Z3552-1,,0,,,
3552-2,,竹貫上,,37.093457,140.547162,Z3552-2,,0,,,
3553-1,,古殿中通り,,37.092696,140.549816,Z3553-1,,0,,,
3554-1,,竹貫下,,37.091937,140.552754,Z3554-1,,0,,,
3555-1,,古殿役場,,37.089664,140.556654,Z3555-1,,0,,,
3556-1,,横川,,37.085417,140.560604,Z3556-1,,0,,,
3556-2,,横川,,37.085370,140.560523,Z3556-2,,0,,,
3557-1,,矢崎,,37.084324,140.564699,Z3557-1,,0,,,
3558-1,,才龍内,,37.080736,140.573093,Z3558-1,,0,,,
3559-1,,前木,,37.073946,140.575306,Z3559-1,,0,,,
3560-1,,馬場,,37.065732,140.583472,Z3560-1,,0,,,
3561-1,,大原,,37.058473,140.584182,Z3561-1,,0,,,
3563-1,,大原東口,,37.056992,140.587834,Z3563-1,,0,,,
3564-1,,八ヶ久保日向,,37.054687,140.595044,Z3564-1,,0,,,
3565-1,,八ヶ久保,,37.054005,140.602351,Z3565-1,,0,,,
3566-1,,薄木,,37.052952,140.607902,Z3566-1,,0,,,
3567-1,,水沼,,37.049071,140.617948,Z3567-1,,0,,,
3568-1,,仁田,,37.036384,140.622948,Z3568-1,,0,,,
3585-1,,寺作,,37.089078,140.563643,Z3585-1,,0,,,
3586-1,,古殿,,37.096594,140.564910,Z3586-1,,0,,,
3587-1,,篠久保,,37.102491,140.565338,Z3587-1,,0,,,
3588-1,,大竹,,37.107245,140.565719,Z3588-1,,0,,,
3589-1,,百目鬼,,37.110600,140.569609,Z3589-1,,0,,,
3590-1,,下中井,,37.118452,140.569130,Z3590-1,,0,,,
3591-1,,上中井,,37.120887,140.569385,Z3591-1,,0,,,
3592-1,,論田入口,,37.124949,140.571960,Z3592-1,,0,,,
3593-1,,山上仮宿,,37.126188,140.578387,Z3593-1,,0,,,
3594-1,,高柄木入口,,37.123491,140.585536,Z3594-1,,0,,,
3595-1,,浪滝,,37.125319,140.587411,Z3595-1,,0,,,
3596-1,,大平入口,,37.131096,140.591684,Z3596-1,,0,,,
3597-1,,竹貫田入口,,37.137784,140.596699,Z3597-1,,0,,,
3598-1,,竹貫田,,37.140455,140.598684,Z3598-1,,0,,,
3599-1,,竹貫田車庫,,37.141947,140.599464,Z3599-1,,0,,,
3600-1,,塩沢,,37.063857,140.590212,Z3600-1,,0,,,
3601-1,,大平草,,37.075375,140.601933,Z3601-1,,0,,,
3602-1,,わらびの草,,37.077222,140.602426,Z3602-1,,0,,,
3603-1,,下大久田,,37.080664,140.598327,Z3603-1,,0,,,
3604-1,,松の久保,,37.083910,140.595202,Z3604-1,,0,,,
3605-1,,宮の下,,37.087342,140.594770,Z3605-1,,0,,,
3606-1,,石神,,37.090256,140.596665,Z3606-1,,0,,,
3607-1,,大久田,,37.091164,140.598606,Z3607-1,,0,,,
3608-1,,有実,,37.091283,140.602109,Z3608-1,,0,,,
3609-1,,有実上,,37.092239,140.603827,Z3609-1,,0,,,
3610-1,,田中田,,37.079830,140.519064,Z3610-1,,0,,,
3611-1,,沢橋前,,37.076957,140.519993,Z3611-1,,0,,,
3615-1,,鮫川村図書館前,,37.045305,140.508720,Z3615-1,,0,,,
3615-2,,鮫川村図書館前,,37.045339,140.508560,Z3615-2,,0,,,
3616-1,,新宿,,37.043758,140.508781,Z3616-1,,0,,,
3617-1,,鮫川役場,,37.042600,140.509500,Z3617-1,,0,,,
3618-1,,鮫川村保健センター,,37.040182,140.509767,Z3618-1,,0,,,
3619-1,,鮫川広畑,,37.037076,140.510732,Z3619-1,,0,,,
3620-1,,さぎり荘,,37.033247,140.509078,Z3620-1,,0,,,
3621-1,,湯の田温泉,,37.030809,140.508686,Z3621-1,,0,,,
3640-1,,官沢入口,,37.046608,140.497655,Z3640-1,,0,,,
3641-1,,伏木田,,37.045938,140.501937,Z3641-1,,0,,,
3642-1,,道少田,,37.044896,140.505888,Z3642-1,,0,,,
3647-1,,西の沢,,36.981503,140.465075,Z3647-1,,0,,,
3648-1,,江竜田,,36.981711,140.467261,Z3648-1,,0,,,
3649-1,,大戸中,,36.982091,140.479792,Z3649-1,,0,,,
3650-1,,渡瀬下,,36.983639,140.482471,Z3650-1,,0,,,
3651-1,,渡瀬,,36.987427,140.485150,Z3651-1,,0,,,
3652-1,,山王の里,,36.989845,140.486962,Z3652-1,,0,,,
3653-1,,中山,,36.993894,140.487305,Z3653-1,,0,,,
3654-1,,福原,,37.001608,140.488431,Z3654-1,,0,,,
3655-1,,田尻,,37.009057,140.497688,Z3655-1,,0,,,
3656-1,,中沢入口,,37.015492,140.496042,Z3656-1,,0,,,
3657-1,,富田,,37.021833,140.494956,Z3657-1,,0,,,
3658-1,,薬師堂入口,,37.024158,140.495465,Z3658-1,,0,,,
3659-1,,前沼,,37.029804,140.500473,Z3659-1,,0,,,
3660-1,,湯川,,37.034654,140.505070,Z3660-1,,0,,,
3661-1,,鮫川中学校入口,,37.036420,140.506592,Z3661-1,,0,,,
